Date,Open,High,Low,Close,Adj Close,Volume,Ticker,Daily Returns %
2020-02-03,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,110000,ARVL,0.0
2020-02-04,9.9399995803833,9.9399995803833,9.930000305175781,9.9399995803833,9.9399995803833,161000,ARVL,0.0
2020-02-05,9.9399995803833,9.9399995803833,9.9399995803833,9.9399995803833,9.9399995803833,39100,ARVL,0.0
2020-02-06,9.9399995803833,9.949999809265137,9.9399995803833,9.9399995803833,9.9399995803833,165400,ARVL,0.0
2020-02-07,9.9399995803833,9.9399995803833,9.920000076293945,9.920000076293945,9.920000076293945,100500,ARVL,-0.20120226291382057
2020-02-10,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,ARVL,0.0
2020-02-11,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,9.920000076293945,0,ARVL,0.0
2020-02-12,9.949999809265137,9.949999809265137,9.920000076293945,9.949999809265137,9.949999809265137,400,ARVL,0.0
2020-02-13,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0,ARVL,0.0
2020-02-14,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0,ARVL,0.0
2020-02-18,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,9.949999809265137,0,ARVL,0.0
2020-02-19,9.9399995803833,9.949999809265137,9.9399995803833,9.949999809265137,9.949999809265137,51000,ARVL,0.10060592861162188
2020-02-20,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,5000,ARVL,0.0
2020-02-21,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,116100,ARVL,0.0
2020-02-24,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,9.899999618530273,100,ARVL,0.0
2020-02-25,9.930000305175781,9.930000305175781,9.899999618530273,9.899999618530273,9.899999618530273,75100,ARVL,-0.3021217091994514
2020-02-26,9.90999984741211,9.920000076293945,9.90999984741211,9.90999984741211,9.90999984741211,768000,ARVL,0.0
2020-02-27,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,9.90999984741211,0,ARVL,0.0
2020-02-28,9.899999618530273,9.899999618530273,9.880000114440918,9.899999618530273,9.899999618530273,59200,ARVL,0.0
2020-03-02,9.920000076293945,9.920000076293945,9.899999618530273,9.899999618530273,9.899999618530273,2700,ARVL,-0.20161751622832577
2020-03-03,9.920000076293945,9.920000076293945,9.899999618530273,9.899999618530273,9.899999618530273,57400,ARVL,-0.20161751622832577
